aakkosellinen
anatominen
androgeeninen
androgyyninen
androloginen
aneeminen
anestesiologinen
anglikaaninen
anglosaksinen
animaalinen
animistinen
ankara
ankarasanainen
ankea
‑annoksinen
anomaalinen
anonyymi
anorektinen
ansaitsematon
ansiokas
ansiosidonnainen
ansioton
antagonistinen
antarktinen
antaumuksellinen
antava
anteeksiannettava
anteeksiantamaton
anteeksiantava
antelias
antibakteerinen
antibioottinen
antiikkinen
anti-inflammatorinen
antikommunistinen
antikvaarinen
antimikrobinen
antimilitaristinen
antirasistinen
antisemiittinen
antisemitistinen
antiseptinen
antisosiaalinen
antistaattinen
antoisa
antropologinen
apaattinen
apea
apokalyptinen
apokryfinen
apologeettinen
aposteriorinen
apostolinen
apriorinen
aravalainoitteinen
arbitraarinen
aristokraattinen
aritmeettinen
arka
arkaainen
arkaistinen
arkakatseinen
arkaluonteinen
arkaluontoinen
arkanahkainen
arkeologinen
arkikielinen
arkinen
arkipäiväinen
arkirealistinen
arkistokelpoinen
arkkitehtoninen
arktinen
armahainen
armahtava
armahtavainen
armainen
armeijanvihreä
armelias
armias
armoinen
armoitettu
armollinen
armoton
aromaattinen
aromikas
‑arominen
arpinen
arrogantti
arteesinen
artistinen
arvaamaton
arveleva
arvelevainen
arveluttava
arvoinen
arvoisa
arvoituksellinen
arvokas
arvokonservatiivinen
arvoliberaalinen
arvollinen
arvomerkintäinen
arvonlisäverollinen
arvosidonnainen
arvosteleva
arvostelukykyinen
arvostelukyvytön
arvoton
arvovaltainen
arvoväritteinen
aseellinen
aseeton
‑aseinen
aseistariisuva
aseksuaalinen
asekuntoinen
asenteellinen
‑asenteinen
‑asentoinen
aseptinen
asetekninen
asetussääteinen
asfalttinen
asfalttipäällysteinen
asiaankuulumaton
asiaankuuluva
asiakaslähtöinen
asiakeskeinen
asiallinen
asianmukainen
asiantuntematon
asiantunteva
asiapainotteinen
asiapitoinen
asiatyylinen
askeettinen
‑askelinen
askelittainen
asosiaalinen
assosiatiivinen
asteeninen
‑asteikkoinen
asteikollinen
‑asteinen
asteittainen
astmaattinen
astmainen
astraalinen
astrologinen
astronominen
‑asuinen
asumaton
asuntopoliittinen
asutushistoriallinen
asuurinsininen
asvalttinen
asymmetrinen
asynkroninen
atavistinen
ateistinen
atk-pohjainen
atlanttinen
atleettinen
atomaarinen
atomistinen
atonaalinen
atooppinen
attraktiivinen
audiovisuaalinen
auditiivinen
aukinainen
aukkoinen
aukoton
auktoritaarinen
auktoritatiivinen
aulis
auringonpaisteinen
auringoton
aurinkokeskinen
aurinkolämmitteinen
autenttinen
autereinen
autio
autistinen
autobiografinen
autokefaalinen
automaattinen
autonominen
autoritaarinen
autoritäärinen
auttamaton
auttava
auttavainen
autuaaksi tekevä
autuaallinen
auvoinen
auvoisa
avantgardistinen
avara
avarakatseinen
avaramielinen
avaruudellinen
‑avioinen
aviollinen
avioton
avo
avoin
avojalkainen
avokatseinen
avokaulainen
avokätinen
avolavainen
avomielinen
avomuotoinen
avonainen
avopäinen
avoselkäinen
avosuinen
avosydäminen
avulias
‑avusteinen
avuton
bakteeriton
bakteriologinen
ballistinen
baltialainen
banaali
barbaarimainen
barbaarinen
barokkityylinen
baskilainen
batistinen
beesi
behavioristinen
beige
benigni
bensapihi
bensiinikäyttöinen
betoninen
bibliografinen
bigaaminen
bilateraalinen
binaarinen
binäärinen
biodynaaminen
bioeettinen
biogeeninen
biografinen
biohajoava
biokemiallinen
biologinen
biomekaaninen
biometrinen
biosähköinen
biotekninen
bisarri
biseksuaalinen
bolsevistinen
bolševistinen
boreaalinen
botaaninen
brežneviläinen
brutaali
byrokraattinen
bysanttilainen
charmantti
charmikas
chic
chippendaletyylinen
cool
dadaistinen
damastinen
darvinistinen
darwinistinen
deduktiivinen
defensiivinen
definiittinen
definitiivinen
deistinen
dekadentti
dekoratiivinen
demagoginen
dementti
deminutiivinen
demografinen
demokraattinen
demoninen
demonstratiivinen
dendrologinen
depressiivinen
dermatologinen
desimaalinen
deskriptiivinen
despoottinen
destruktiivinen
deterministinen
diagnostinen
diagonaalinen
diakoninen
diakroninen
dialektinen
diastolinen
diatoninen
didaktinen
diffuusi
digitaalinen
diktatorinen
diminutiivinen
diploidi
diploidinen
diplomaattinen
disjunktiivinen
diskreetti
diskursiivinen
diureettinen
divergentti
dogmaattinen
dokumentaarinen
draamallinen
dramaattinen
drastinen
dualistinen
dynaaminen
dysfaattinen
dystooppinen
edellinen
edellisiltainen
edelliskertainen
edelliskesäinen
edellispäiväinen
edellisvuotinen
edelläkäypä
edelläkäyvä
edestakainen
edesvastuuton
edistyksellinen
edistysmielinen
edukas
edullinen
edustava
edusteinen
edustuksellinen
edustuskelpoinen
edustuskykyinen
eeppinen
eettinen
efektiivinen
egoistinen
egosentrinen
egyptologinen
ehdollinen
ehdonalainen
ehdoton
eheä
eheälaitainen
eheärakenteinen
ehjä
ehompi
ehta
ehtiväinen
ehtoisa
ehtymätön
ehyt
ehytlaitainen
eideettinen
eilisaamuinen
eilisiltainen
eilispäiväinen
eittämätön
eklektinen
ekologinen
ekonometrinen
ekonominen
eksakti
eksentrinen
ekshibitionistinen
eksistentiaalinen
eksistentialistinen
eksklusiivinen
eksogaaminen
eksogeeninen
eksoottinen
eksoterminen
ekspansiivinen
eksperimentaalinen
eksplisiittinen
eksponentiaalinen
ekspressiivinen
ekspressionistinen
ekstaattinen
ekstra
ekstravertti
ekstremistinen
ekstrovertti
ekumeeninen
ekvivalentti
ekvivalenttinen
elastinen
elatusvelvollinen
eleetön
elegantti
eleginen
‑eleinen
elektiivinen
elektrodynaaminen
elektrolyyttinen
elektroninen
elementaarinen
elementtirakenteinen
elimellinen
elinaikainen
elinikäinen
elinkautinen
elinkelpoinen
elinkelvoton
elinkykyinen
elintärkeä
elinvoimainen
elitistinen
elliptinen
elohopeamainen
eloisa
elokuinen
elokuvallinen
elollinen
eloperäinen
eloton
elähtänyt
eläimellinen
eläinhahmoinen
eläinlääketieteellinen
eläinlääkinnällinen
eläinopillinen
eläinperäinen
eläinrakas
eläintieteellinen
eläkeikäinen
elämyksekäs
elämyksellinen
elämäkerrallinen
elämänaikainen
elämänhaluinen
elämäniloinen
elämänkatsomuksellinen
elämänkielteinen
elämänläheinen
elämänmyönteinen
elämätön
eläväinen
eläväpintainen
emalinen
embryologinen
emerita
emotionaalinen
empaattinen
empiirinen
empiirityylinen
empiretyylinen
empiristinen
emäksinen
endeeminen
endogaaminen
endogeeninen
endokriininen
endokrinologinen
endoterminen
‑enemmistöinen
enenevä
‑energiainen
energiaintensiivinen
energiapitoinen
energiataloudellinen
energiatehokas
energinen
englanninkielinen
enin
ennakkoluuloinen
ennakkoluuloton
ennakoimaton
ennalta arvattava
ennenaikainen
ennenkokematon
ennenkuulumaton
ennennäkemätön
ennusteellinen
ennätyksellinen
ennätysmäinen
ensi
ensiarvoinen
ensikertainen
ensikesäinen
ensiluokkainen
ensisijainen
ensisunnuntainen
ensitalvinen
enteellinen
‑enteinen
entinen
entisaikainen
entisenlainen
entsymaattinen
entusiastinen
epideeminen
epidemiologinen
epileptinen
epis
episkopaalinen
epäaito
epäajanmukainen
epäaktiivinen
epäammattimainen
epäasiallinen
epädemokraattinen
epäedullinen
epäeettinen
epäesteettinen
epäeuklidinen
epähavainnollinen
epäherkkä
epähieno
epähistoriallinen
epähygieeninen
epäidenttinen
epäilevä
epäileväinen
epäiltävä
epäilyksenalainen
epäilyttävä
epäinhimillinen
epäisänmaallinen
epäitsekäs
epäitsenäinen
epäjalo
epäjatkuva
epäjohdonmukainen
epäjärjestelmällinen
epäkansallinen
epäkansanvaltainen
epäkaupallinen
epäkelpo
epäkeskinen
epäkiitollinen
epäkohtelias
epäkriittinen
epäkristillinen
epäkunnioittava
epäkuntoinen
epäkurantti
epäkypsä
epäkäytännöllinen
epälojaali
epälojaalinen
epälooginen
epälukuinen
epäluonnollinen
epäluotettava
epäluuloinen
epämiehekäs
epämielekäs
epämiellyttävä
epämieluinen
epämieluisa
epämukava
epämuodollinen
epämuotoinen
epämusikaalinen
epämääräinen
epänaisellinen
epänormaali
epäoikeudenmukainen
epäoikeutettu
epäoleellinen
epäolennainen
epäonninen
epäorgaaninen
epäortodoksinen
epäparinen
epäparlamentaarinen
epäperäinen
epäpoliittinen
epäpuhdas
epäpyhä
epäpätevä
epärealistinen
epärehellinen
epäreilu
epäseksikäs
epäselvä
epäsiisti
epäsiveellinen
epäsointuinen
epäsolidaarinen
epäsopiva
epäsopuinen
epäsosiaalinen
epäsovinnainen
epäsuhtainen
epäsuomalainen
epäsuopea
epäsuora
epäsuosiollinen
epäsuosittu
epäsuotava
epäsuotuisa
epäsymmetrinen
epäsäännöllinen
epäsäätyinen
epätaiteellinen
epätaloudellinen
epätarkka
epätarkoituksenmukainen
epätasainen
epätavallinen
epäterve
epäterveellinen
epätieteellinen
epätietoinen
epätodellinen
epätodennäköinen
epätoivoinen
epätoivottu
epätosi
epätyydyttävä
epätyypillinen
epätäsmällinen
epätäydellinen
epäurheilijamainen
epäuskoinen
epäuskottava
epävakaa
epävakainen
epävapaa
epävarma
epäviihtyisä
epäviisas
epävirallinen
epävireinen
epäyhtenäinen
epäystävällinen
epäämätön
erehtymätön
erehtyväinen
ergonominen
erheellinen
eriaikainen
eriarvoinen
eriasteinen
erihintainen
eri-ikäinen
erikielinen
erikoinen
erikoishoikka
erikoislaatuinen
erikoislahjakas
erikoisrakenteinen
erikoisvalmisteinen
erikokoinen
erikorkuinen
erilainen
erillinen
eriluonteinen
erimallinen
erimerkityksinen
erimerkkinen
erimielinen
erimunainen
erimuotoinen
eriniminen
erinomainen
erinäinen
erinäköinen
eriparinen
eriperintäinen
eripituinen
eripurainen
eriseurainen
erisivuinen
eriskummainen
eriskummallinen
eristeinen
erisuuntainen
erisuuruinen
erisäätyinen
eritasoinen
erityinen
erityisherkkä
erityiskorvattava
erityislahjakas
erityylinen
erityyppinen
erivärinen
eriävä
erogeeninen
eroottinen
erottamaton
erovuoroinen
eruptiivinen
erämainen
eräänlainen
esiaviollinen
esihistoriallinen
esiintymiskykyinen
esijännitteinen
esikouluikäinen
esikristillinen
esikuvallinen
esimerkillinen
esimurrosikäinen
esineellinen
esiteini-ikäinen
esityksellinen
esitäytetty
eskapistinen
eskatologinen
esoteerinen
espanjankielinen
essentiaalinen
esteellinen
esteettinen
esteetön
‑esteinen
estoinen
estoton
eteenpäinen
eteerinen
eteläkaakkoinen
etelälounainen
etelämainen
etelänpuoleinen
eteläpuolinen
etevä
etinen
etiologinen
etninen
etnografinen
etnologinen
etova
etuajo-oikeutettu
etukenoinen
etukäteinen
etumainen
etummainen
etuoikeuksinen
etuoikeutettu
etupainoinen
etupainotteinen
etupyörävetoinen
etusijainen
etuusperusteinen
etuvetoinen
etymologinen
etäinen
eufemistinen
euforinen
euklidinen
euroatlanttinen
euromääräinen
europidinen
eurosentrinen
evankelinen
evidentti
evolutiivinen
faktinen
fakultatiivinen
fallinen
falski
fanaattinen
fantastinen
farmakologinen
farmarikankainen
farmaseuttinen
fasistinen
fataali
fataalinen
fatalistinen
federalistinen
federatiivinen
feminiininen
feminiinisukuinen
feministinen
fennistinen
fenologinen
fenomenaalinen
fenomenologinen
feodaalinen
feodalistinen
fertiili
fetisistinen
figuratiivinen
fiini
fiksu
fiktiivinen
filantrooppinen
filateelinen
filharmoninen
filmaattinen
filologinen
filosofinen
finaalinen
finanssipoliittinen
finiittinen
finninaamainen
finninen
fiskaalinen
flaamilainen
flanellinen
flegmaattinen
flunssainen
fluoripitoinen
foneettinen
foniatrinen
fonologinen
foobinen
formaali
formaalinen
formalistinen
formatiivinen
‑fosfaattinen
fossiilinen
fossiiliton
fotodynaaminen
fotogeeninen
fotorealistinen
fragmentaarinen
fraseologinen
freesi
‑frekvenssinen
frenologinen
fressi
frigidi
friisiläinen
frontaalinen
froteinen
fundamentaalinen
fundamentalistinen
funktionaalinen
funktionalistinen
futuristinen
futurologinen
fylogeneettinen
fysiatrinen
fysikaalinen
fysiologinen
fysioterapeuttinen
fyysinen
galaktinen
galvaaninen
gastronominen
gaullistinen
geenimanipuloitu
geenimuokattu
geenimuunneltu
geenitekninen
gemmologinen
geneerinen
geneettinen
genitaalinen
genotoksinen
genotyyppinen
geodeettinen
geofysikaalinen
geologinen
geometrinen
geomorfologinen
geopoliittinen
geosentrinen
geotekninen
geoterminen
geriatrinen
germaaninen
gerontologinen
giganttinen
glamoröösi
glasiaalinen
globaali
globaalinen
gluteeniton
glykeeminen
gnostisistinen
goottilainen
graafinen
graavi
grafiitinharmaa
grafologinen
grammaattinen
graniittinen
gravidi
gregoriaaninen
gynekologinen
haalea
haapainen
haarakkeinen
haarasuoninen
haastava
haasteellinen
haavainen
haaveellinen
haaveenomainen
haavoittuva
haavoittuvainen
haennainen
hahmoinen
hahmotteinen
haikea
hailakka
hailea
hairahtuvainen
haitallinen
haitaton
‑haiveninen
hajallinen
hajamielinen
hajanainen
hajataitteinen
hajataittoinen
hajuinen
hajustamaton
hajusteeton
hajuton
hakkuukypsä
‑hakuinen
hakukelpoinen
halal
haljakka
halju
halkinainen
‑halkioinen
halkoinen
hallainen
hallanarka
hallankestävä
hallava
hallinnollinen
hallinto-oikeudellinen
hallitseva
hallitsijavaltainen
hallittu
hallituksenvastainen
hallituskelpoinen
hallitusmielinen
hallitustenvälinen
hallusinatorinen
halpa
halpa-arvoinen
halpahintainen
halpakorkoinen
halpamainen
haluinen
halukas
halullinen
haluton
haluttava
haluttu
halventava
‑hameinen
hammaslaitainen
hammaslääketieteellinen
‑hammasteinen
‑hammastuksinen
hampaallinen
hampaaton
hanakka
hankahaarainen
‑hankaiminen
‑hankainen
hankala
hankalakulkuinen
hankalakäyttöinen
hankalatöinen
hankinnainen
hapan
hapanimelä
hapattamaton
hapekas
hapera
haploidi
haploidinen
hapokas
haponkestävä
happamaton
happiköyhä
happipakoinen
happipitoinen
happirikas
happoinen
happopitoinen
‑hapsuinen
hapsullinen
harhaanjohtava
harhaanvievä
harhainen
harjaantumaton
‑harjainen
harjakattoinen
‑harjaksinen
harjanteinen
harjastukkainen
harjava
harkinnanvarainen
harkintakykyinen
harkitsematon
harkitseva
harkitsevainen
harkittu
harlekiinikuvioinen
harmaahapsinen
harmaahiuksinen
harmaapartainen
harmaapäinen
harmaasilmäinen
harmaatukkainen
harmahtava
harmillinen
harmiton
harmoninen
harras
harrashenkinen
harrastelijamainen
harrastunnelmainen
harteikas
‑harteinen
harteva
‑hartiainen
hartiakas
harvahampainen
harvainvaltainen
harvalukuinen
harvaoksainen
harvapuheinen
harvasanainen
harvasyinen
harventamaton
harvinainen
harvinaislaatuinen
harvuinen
hassahtava
hassunkurinen
hatara
hattupäinen
haudanhiljainen
haudantakainen
haudanvakava
hauras
haurasrakenteinen
haureellinen
hauskannäköinen
havainnollinen
havupuinen
havupuuvaltainen
hedelmäinen
hedelmällinen
hedelmätön
hedelmöityskykyinen
hedoninen
hedonistinen
hehkeä
heijasteinen
heikko
heikkohermoinen
heikkokasvuinen
heikkokuuloinen
heikkolaatuinen
heikkolahjainen
heikkoluonteinen
heikkonäköinen
heikkopäinen
heikkorakenteinen
heikkotahtoinen
heikkotasoinen
heikkotehoinen
heikkouskoinen
heikkovaloinen
‑heimoinen
heinikkoinen
heinäinen
heinäkuinen
‑heittoinen
heiveröinen
heksagoninen
hektinen
hekumallinen
hela
‑helainen
helakanpunainen
helakanvärinen
helakka
helapäinen
heleä
heleäihoinen
heleänkeltainen
heleänvihreä
heleänvärinen
heleäsointinen
heleä-ääninen
heliosentrinen
heliotrooppinen
helkkarinmoinen
helleeninen
hellenistinen
hellittämätön
hellyttävä
hellyydenkipeä
hellyyttävä
hellä
helläkätinen
helläluonteinen
helläluontoinen
hellämielinen
helläsydäminen
hellävarainen
‑helmainen
helmallinen
helmenharmaa
helmikoristeinen
helmikuinen
helmiäishohtoinen
helmiäiskiiltoinen
helpottunut
helppo
helppohintainen
helppohoitoinen
helppokulkuinen
helppokäyttöinen
helppoliukoinen
helppolukuinen
helpposivelteinen
helppotajuinen
helppotöinen
helppoymmärteinen
helteinen
heltymätön
helvetillinen
helvetinmoinen
hemaiseva
hemmetinmoinen
hempeämielinen
hengellinen
hengenvaarallinen
henkevä
henkeäsalpaava
henkilöhistoriallinen
henkilökohtainen
henkinen
hento
hentoinen
hentojäseninen
hentokasvuinen
hentomielinen
hentorakenteinen
heppoinen
heppoisa
hepreankielinen
heraldinen
hereä
herkeämätön
herkkä
herkkähermoinen
herkkähipiäinen
herkkäihoinen
herkkäilmeinen
herkkäkuuloinen
herkkäliikkeinen
herkkänahkainen
herkkätunteinen
herkkätuntoinen
herkkäuninen
herkkäuskoinen
herkkävireinen
herkullinen
hermafrodiittinen
hermeettinen
hermeneuttinen
hermoheikko
hermoherkkä
‑hermoinen
hermostollinen
hermostoperäinen
hermostunut
hermotautinen
hermoton
herooinen
herraskainen
herttainen
herttamainen
hervoton
‑heteinen
heterogeeninen
heteronormatiivinen
heteroseksuaalinen
heterotsygoottinen
hetkellinen
‑hetkinen
hetkittäinen
hetteinen
heuristinen
hevosnaamainen
hevosvetoinen
‑hevosvoimainen
hidas
hidasjuoksuinen
hidasjärkinen
hidaskasvuinen
hidaskulkuinen
hidaskäyntinen
hidasliikkeinen
hidaslukuinen
hidaspuheinen
hidasteinen
hidastempoinen
hidasälyinen
hiekankeltainen
hiekanruskea
hiekansekainen
hiekanvärinen
hiekkainen
hiekkaperäinen
hiekkapitoinen
hiekkapohjainen
hiekkarantainen
hieno
hienohipiäinen
hienoinen
hienojakoinen
hienojyväinen
hienokäytöksinen
hienolaatuinen
hienoluonteinen
hienomekaaninen
hienopiirteinen
hienorakeinen
hienostunut
hienosyinen
hienosäikeinen
hienotekoinen
hienotunteinen
hienovarainen
hienovireinen
hierarkkinen
hietainen
hietikkoinen
‑hihainen
hihallinen
hihaton
hiilenmusta
hiilihapollinen
hiilihappoinen
hiilikuituinen
‑hiilinen
hiilineutraali
hiilipitoinen
hiipivä
hiirenharmaa
hiirenhiljainen
hiiskumaton
hiivatinmoinen
hikevä
hikinen
hillitty
hillitön
hillotäytteinen
hilpeä
hilseinen
himmeä
himmeäkiiltoinen
himmeäpintainen
‑himoinen
himokas
hindulainen
hinnakas
hintainen
hintatietoinen
hintava
hintelä
hinteläkasvuinen
hiomaton
‑hipiäinen
hirmuhauska
hirmuinen
hirmusuuri
hirmuvaltainen
hirsinen
hirtehinen
hirttämätön
hirvittävä
histologinen
historiallinen
historiallisperäinen
historianmukainen
historiantakainen
historianvastainen
historiaton
hitonmoinen
hiuksenhieno
hiuksianostattava
‑hiuksinen
hiushuokoinen
hiutaleinen
hohdokas
hohkainen
hohteinen
hohtoinen
hoidollinen
hoikka
hoikkarunkoinen
hoikkasäärinen
hoikkavartaloinen
hoikkavartinen
hoikkavyötäröinen
‑hoitoinen
hoksaavainen
holhouksenalainen
holistinen
holiton
holtiton
holvikaarinen
holvikattoinen
‑holvinen
homeenvihreä
homeerinen
homeinen
homeopaattinen
homeostaattinen
homoeroottinen
homofiilinen
homofobinen
homogeeninen
homoseksuaalinen
homotsygoottinen
homssuinen
honkainen
hontelo
hopeahapsinen
hopeahelainen
hopeahiuksinen
hopeainen
hopeakuorinen
hopeanharmaa
hopeanhohtoinen
hopeanvalkoinen
hopeanvärinen
hopeapitoinen
hopeinen
horisontaali
horisontaalinen
horjumaton
horjuva
horjuvainen
hormonaalinen
horteinen
houkkamainen
houreinen
hourupäinen
‑housuinen
hovikelpoinen
huhtikuinen
huikea
huikenteleva
huikentelevainen
huilumainen
huima
huimaava
huimapäinen
huippuedullinen
huippuhyvä
‑huippuinen
huippujännittävä
huippukuntoinen
huippumuodikas
huippusalainen
huipputehokas
huipputylsä
huippuälykäs
huisi
huiskea
huivipäinen
hullunkurinen
hullunrohkea
hulppea
hulttiomainen
hulvaton
humaani
humaaninen
humalahakuinen
humanistinen
humanitaarinen
humanitäärinen
humoristinen
humuspitoinen
hunajainen
hunajankeltainen
hunajanmakea
hunajanvaalea
huntupäinen
huokea
huokeahintainen
huokoinen
huolehtivainen
huolekas
huolellinen
huoleton
huolimaton
huoltovapaa
huoltovelvollinen
huomaamaton
huomaavainen
huomattava
huomenaamuinen
huomeniltainen
huomiokykyinen
huomionarvoinen
huomionkipeä
huomisaamuinen
huomisiltainen
huomispäiväinen
huoneenlämpöinen
‑huoneinen
huono
huonokasvuinen
huonokuntoinen
huonokuuloinen
huonolaatuinen
huonomaineinen
huonomuistinen
huononnäköinen
huononäköinen
huono-onninen
huono-oppinen
huonopalkkainen
huonoryhtinen
huonosatoinen
huonotapainen
huonotuloinen
huonotuottoinen
huonotuulinen
huonovointinen
huopainen
huorahtava
hupa
hupainen
hupaisa
hupullinen
hurja
hurjaluonteinen
hurjaluontoinen
hurjannäköinen
hurjapäinen
hurmaava
hurmahenkinen
hurmeinen
hurskas
hurtti
hutera
‑huulinen
huumeeton
huumeinen
huumorintajuinen
huuruinen
huutava
huvittava
huvittelunhaluinen
hydraulinen
hydrologinen
hygieeninen
hyhmäinen
hyinen
hyperbolinen
hypermoderni
hypermuodikas
hypnoottinen
hypomaaninen
hypotaktinen
hypoteettinen
hypoterminen
hyppäyksellinen
hyppäyksittäinen
hyrskyinen
hysteerinen
hyveellinen
hyvinvoipa
hyvinvoiva
hyväenteinen
hyvähermoinen
hyväkasvuinen
hyväksyttävä
hyväkuntoinen
hyväkuuloinen
hyväkäytöksinen
hyvälaatuinen
hyväluonteinen
hyväluontoinen
hyvämaineinen
hyvämuistinen
hyvänahkainen
hyvänen
hyvänhajuinen
hyvänlaatuinen
hyvänmakuinen
hyvännäköinen
hyvänsuopa
hyväntahtoinen
hyväntapainen
hyväntuntuinen
hyväntuoksuinen
hyväntuulinen
hyvänäköinen
hyväonninen
hyväoppinen
hyväpalkkainen
hyväpäinen
hyväryhtinen
hyväsydäminen
hyvätapainen
hyvätasoinen
hyvätuloinen
hyvätuoksuinen
hyvätuottoinen
hyväuskoinen
hyvä-ääninen
hyytelömäinen
hyödykäs
hyödyllinen
hyödytön
hyökkäyksellinen
hyökkäävä
hyötyisä
hyötykasvuinen
hädänalainen
hähmäinen
häijy
häijynilkinen
häikäilemätön
häilyvä
häilyväinen
häiriintynyt
‑häiriöinen
häiriötön
hälyinen
hälyisä
hälyttävä
hälytysvalmis
hämillinen
hämmentävä
hämmästyttävä
hämyinen
hämyisä
hämäräperäinen
hämäräsokea
hänenlaisensa
hännällinen
häpeällinen
häpeämätön
härkäpäinen
härmäinen
härski
härö
hätäinen
häveliäs
häviämätön
häälyvä
häälyväinen
hääppöinen
häävi
höllä
hölläkätinen
hölläluonteinen
höllärakenteinen
hölösuinen
höpsähtävä
höveli
höyhenenkeveä
höyhenenkevyt
höyheninen
höyhentäytteinen
höyli
höyryinen
höyrypäinen
höytyinen
iankaikkinen
ideaalinen
idealistinen
idempi
identtinen
ideologinen
idiomaattinen
idioottimainen
idioottivarma
idiopaattinen
idyllinen
ihailtava
ihana
ihanainen
ihanteellinen
ihastuttava
ihku
ihmeellinen
ihmeitä tekevä
ihmeteltävä
ihmisarka
ihmisarvoinen
ihmisenmuotoinen
ihmishahmoinen
ihmiskasvoinen
ihmiskeskeinen
ihmisläheinen
ihmismäinen
ihmisperäinen
ihmisrakas
ihmisystävällinen
ihonalainen
ihonmyötäinen
ihonvärinen
ihramahainen
iisi
ikiaikainen
ikihyvä
iki-ihana
iki-ihastunut
ikimuistettava
ikimuistoinen
ikinaisellinen
ikinen
ikinuori
ikioma
ikionnellinen
ikivanha
ikivihanta
‑ikkunainen
ikkunallinen
ikoninen
ikuinen
ikäkulu
ikäloppu
ikäsidonnainen
ikätasoinen
ikävystynyt
ikävystyttävä
iljankoinen
iljanteinen
iljettävä
ilkeä
ilkeäluonteinen
ilkeämielinen
ilkeännäköinen
ilkialaston
ilkikurinen
‑ilkinen
ilkivaltainen
illantorkku
illanvirkku
illusorinen
illuusioton
ilmainen
ilmaisukykyinen
ilmaisullinen
ilmaisuvoimainen
ilmajäähdytteinen
ilmakuiva
ilmanpitävä
ilmapakoinen
‑ilmastoinen
ilmastollinen
ilmatieteellinen
ilmatiivis
ilmaton
ilmatäytteinen
ilmava
ilmeetön
ilmeikäs
ilmeinen
ilmeinen
ilmetty
ilmielävä
ilmiselvä
ilmiömäinen
ilmiöpohjainen
ilmoinen
iloinen
iloluontoinen
ilomielinen
iloton
iltainen
iltapukuinen
iltatorkku
iltauninen
